seed,best_mae,best_params,best_trial,trials,execution_time
1,0.35556969195604327,"{'max_depth': 10, 'learning_rate': 0.027371876036247435, 'subsample': 0.6368603534340287, 'colsample_bytree': 0.7142593121132557, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 824}",29,35,37.61631798744202
2,0.3911507770419121,"{'max_depth': 10, 'learning_rate': 0.08753049234183037, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",32,35,26.625606060028076
3,0.32667864859104156,"{'max_depth': 8, 'learning_rate': 0.042953483207029707, 'subsample': 0.9808373693146633, 'colsample_bytree': 0.8303830545634362, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 825}",19,35,37.44843125343323
4,0.33445775359869,"{'max_depth': 7, 'learning_rate': 0.07307331231996636, 'subsample': 1.0, 'colsample_bytree': 0.8738022833697909, 'min_child_weight': 3, 'gamma': 0.0, 'num_boost_round': 927}",33,35,22.755340337753296
5,0.3577069878578186,"{'max_depth': 10, 'learning_rate': 0.07334182635148045, 'subsample': 1.0, 'colsample_bytree': 0.7353238286823185, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",18,35,19.726876735687256
10,0.4073299169540405,"{'max_depth': 10, 'learning_rate': 0.03885913340661032, 'subsample': 0.7880044993645522, 'colsample_bytree': 0.8204705933076548, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",26,35,27.909229040145874
20,0.3776894465088844,"{'max_depth': 10, 'learning_rate': 0.04353181977674154, 'subsample': 1.0, 'colsample_bytree': 0.5, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",22,35,19.13583755493164
40,0.3573278605937958,"{'max_depth': 7, 'learning_rate': 0.15828343337008627, 'subsample': 0.5, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 657}",14,35,26.61864709854126
60,0.38211443573236464,"{'max_depth': 10, 'learning_rate': 0.037109777152684535, 'subsample': 1.0, 'colsample_bytree': 0.7274882767602097, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",33,35,22.711469650268555
100,0.36454454213380816,"{'max_depth': 10, 'learning_rate': 0.05355071536049286, 'subsample': 0.5, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 497}",11,35,34.334248065948486
200,0.3326509028673172,"{'max_depth': 9, 'learning_rate': 0.029979560984985408, 'subsample': 0.9739215842948066, 'colsample_bytree': 0.5, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",31,35,35.19038438796997
400,0.34904303401708603,"{'max_depth': 9, 'learning_rate': 0.030185419084878876, 'subsample': 0.9129441476587427, 'colsample_bytree': 0.5796450154761486, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",10,35,33.87417221069336
600,0.35959121882915496,"{'max_depth': 10, 'learning_rate': 0.05188339047961842, 'subsample': 1.0, 'colsample_bytree': 0.7434083769316661, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",26,35,24.71740412712097
800,0.37787114679813383,"{'max_depth': 10, 'learning_rate': 0.025263157239395245, 'subsample': 0.7569692976575488, 'colsample_bytree': 0.5, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 1000}",34,35,28.61724328994751
1000,0.3659791395068169,"{'max_depth': 10, 'learning_rate': 0.07401479526789731, 'subsample': 0.7537042397957088, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0, 'num_boost_round': 972}",32,35,21.70078182220459
