seed,trial,predicted_best,rounds_seen,num_boost_round,last_observed_mae,best_so_far,params
1,2,0.5084825417306549,24,124,0.6008473351597786,0.4772607207298279,"{'num_boost_round': 124, 'max_depth': 8, 'learning_rate': 0.010807235011690317, 'subsample': 0.7793449142228759, 'colsample_bytree': 0.5701934692976169, 'min_child_weight': 2, 'gamma': 4.003722843377683}"
1,4,0.5253583131255207,50,253,0.6258643299341202,0.42467433512210845,"{'num_boost_round': 253, 'max_depth': 10, 'learning_rate': 0.0017523345846499128, 'subsample': 0.7105538125025261, 'colsample_bytree': 0.978944765075251, 'min_child_weight': 6, 'gamma': 3.4593855697523668}"
1,5,0.47151802480220795,76,384,0.47151802480220795,0.42467433512210845,"{'num_boost_round': 384, 'max_depth': 8, 'learning_rate': 0.11680703272479827, 'subsample': 0.5091441386720958, 'colsample_bytree': 0.8750721574724838, 'min_child_weight': 10, 'gamma': 3.740828271899197}"
1,6,0.47779873742168244,70,352,0.614150270819664,0.42467433512210845,"{'num_boost_round': 352, 'max_depth': 9, 'learning_rate': 0.001801786526209975, 'subsample': 0.7239467630879526, 'colsample_bytree': 0.9542977515465478, 'min_child_weight': 3, 'gamma': 1.4388766929317436}"
1,7,0.46623743556457353,43,217,0.4828165486454964,0.42467433512210845,"{'num_boost_round': 217, 'max_depth': 3, 'learning_rate': 0.04803501460719357, 'subsample': 0.6058140580000295, 'colsample_bytree': 0.6327733296861131, 'min_child_weight': 5, 'gamma': 0.2668127255854019}"
1,8,0.4696881424208767,123,617,0.47252763658761976,0.42467433512210845,"{'num_boost_round': 617, 'max_depth': 4, 'learning_rate': 0.028825793489716388, 'subsample': 0.8498791800104656, 'colsample_bytree': 0.5511672144139129, 'min_child_weight': 5, 'gamma': 3.4720007886387254}"
1,9,0.47650021336845194,94,473,0.487370266020298,0.42467433512210845,"{'num_boost_round': 473, 'max_depth': 3, 'learning_rate': 0.0212559430304812, 'subsample': 0.8318973226098945, 'colsample_bytree': 0.7574445560291543, 'min_child_weight': 10, 'gamma': 2.9327752025099647}"
1,10,0.44806631207466124,104,520,0.4486188068985939,0.42467433512210845,"{'num_boost_round': 520, 'max_depth': 4, 'learning_rate': 0.10465645737282404, 'subsample': 0.7735760174096185, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
1,12,0.40659744179099294,200,1000,0.41787601113319395,0.3895820781588554,"{'num_boost_round': 1000, 'max_depth': 10, 'learning_rate': 0.027496050390790828, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
1,13,0.45978847315528626,200,1000,0.4749356985092163,0.3895820781588554,"{'num_boost_round': 1000, 'max_depth': 7, 'learning_rate': 0.007790326986075026, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
1,14,0.3968774937407869,200,1000,0.4011846363544464,0.3895820781588554,"{'num_boost_round': 1000, 'max_depth': 8, 'learning_rate': 0.0360788801789804, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
1,15,0.4103315315979811,124,621,0.43958932906389236,0.3895820781588554,"{'num_boost_round': 621, 'max_depth': 7, 'learning_rate': 0.02548870783591992, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0}"
